Serial Version of the Program 
Player 37 has 1 the game 
Player 30 has 1 the game 
Player 38 has 1 the game 
Player 72 has 1 the game 
Player 73 has 1 the game 
Player 35 has 1 the game 
Player 29 has 1 the game 
Player 14 has 1 the game 
Player 90 has 1 the game 
Player 43 has 1 the game 
Player 101 has 1 the game 
Player 51 has 1 the game 
Player 63 has 1 the game 
Player 88 has 1 the game 
Player 97 has 1 the game 
Player 65 has 1 the game 
Player 24 has 1 the game 
Player 27 has 1 the game 
Player 45 has 1 the game 
Player 92 has 1 the game 
Player 57 has 1 the game 
Player 20 has 1 the game 
Player 28 has 1 the game 
Player 25 has 1 the game 
Player 47 has 1 the game 
Player 42 has 1 the game 
Player 40 has 1 the game 
Player 54 has 1 the game 
Player 66 has 1 the game 
Player 50 has 1 the game 
Player 41 has 1 the game 
Player 39 has 1 the game 
Player 87 has 1 the game 
Player 32 has 1 the game 
Player 5 has 1 the game 
Player 93 has 1 the game 
Player 56 has 1 the game 
Player 68 has 1 the game 
Player 36 has 1 the game 
Player 34 has 1 the game 
Player 59 has 1 the game 
Player 19 has 1 the game 
Player 55 has 1 the game 
Player 94 has 1 the game 
Player 31 has 1 the game 
Player 1 has 1 the game 
Player 100 has 1 the game 
Player 89 has 1 the game 
Player 18 has 1 the game 
Player 22 has 1 the game 
Player 6 has 1 the game 
Player 44 has 1 the game 
Player 81 has 1 the game 
Player 53 has 1 the game 
Player 15 has 1 the game 
Player 75 has 1 the game 
Player 9 has 1 the game 
Player 67 has 1 the game 
Player 99 has 1 the game 
Player 2 has 1 the game 
Player 17 has 1 the game 
Player 33 has 1 the game 
Player 98 has 1 the game 
Player 77 has 1 the game 
Player 48 has 1 the game 
Player 82 has 1 the game 
Player 13 has 1 the game 
Player 78 has 1 the game 
Player 64 has 1 the game 
Player 85 has 1 the game 
Player 76 has 1 the game 
Player 7 has 1 the game 
Player 52 has 1 the game 
Player 8 has 1 the game 
Player 86 has 1 the game 
Player 4 has 1 the game 
Player 58 has 1 the game 
Player 21 has 1 the game 
Player 84 has 1 the game 
Player 11 has 1 the game 
Player 10 has 1 the game 
Player 61 has 1 the game 
Player 46 has 1 the game 
Player 71 has 1 the game 
Player 80 has 1 the game 
Player 26 has 1 the game 
Player 96 has 1 the game 
Player 23 has 1 the game 
Player 95 has 1 the game 
Player 12 has 1 the game 
Player 83 has 1 the game 
Player 74 has 1 the game 
Player 16 has 1 the game 
Player 49 has 1 the game 
Player 79 has 1 the game 
Player 69 has 1 the game 
Player 62 has 1 the game 
Player 3 has 1 the game 
Player 60 has 1 the game 
Player 70 has 1 the game 
Player 91 has 1 the game 
Time in seconds 9.83885002 
